CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,segment
12524.0,9,144,4485.72,5,5,5,55,champions
12526.0,1,71,1316.66,5,4,4,54,champions
12527.0,82,18,348.71000000000004,2,2,2,22,hibernating
12528.0,9,92,1933.48,5,4,4,54,champions
12530.0,60,66,1662.28,3,4,4,34,loyal_customers
12531.0,15,17,125.22,4,2,1,42,potential_loyalists
12532.0,30,16,349.83000000000004,4,2,2,42,potential_loyalists
12534.0,131,63,1089.18,2,4,4,24,at_Risk
12535.0,92,34,716.35,2,3,3,23,at_Risk
12536.0,43,261,12601.830000000002,3,5,5,35,loyal_customers
12538.0,29,21,363.95,4,2,2,42,potential_loyalists
12539.0,22,273,5568.35,4,5,5,45,loyal_customers
12540.0,20,478,13400.24,4,5,5,45,loyal_customers
12541.0,30,52,981.18,4,3,4,43,potential_loyalists
12544.0,36,19,372.7,3,2,2,32,about_to_sleep
12545.0,75,50,1000.39,2,3,4,23,at_Risk
12546.0,47,69,1161.5,3,4,4,34,loyal_customers
12547.0,198,8,207.79999999999998,1,1,1,11,hibernating
12548.0,166,5,95.19999999999999,2,1,1,21,hibernating
12550.0,79,57,964.83,2,3,4,23,at_Risk
12551.0,358,10,168.0,1,1,1,11,hibernating
12552.0,39,20,437.82,3,2,2,32,about_to_sleep
12553.0,8,191,3692.28,5,5,5,55,champions
12556.0,50,121,603.71,3,4,3,34,loyal_customers
12557.0,16,33,11990.960000000001,4,3,5,43,potential_loyalists
12558.0,8,11,269.96,5,1,2,51,new_customers
12559.0,311,21,561.71,1,2,3,12,hibernating
12560.0,5,105,2134.01,5,4,5,54,champions
12561.0,303,16,238.85,1,2,1,12,hibernating
12562.0,8,168,3781.7400000000002,5,5,5,55,champions
12564.0,261,21,456.9,1,2,2,12,hibernating
12565.0,289,9,145.92,1,1,1,11,hibernating
12566.0,86,19,351.65,2,2,2,22,hibernating
12567.0,23,446,9401.28,4,5,5,45,loyal_customers
12569.0,2,188,4124.69,5,5,5,55,champions
12571.0,40,34,519.61,3,3,3,33,need_attention
12572.0,9,60,1020.42,5,4,4,54,champions
12573.0,227,28,160.54000000000002,1,2,1,12,hibernating
12574.0,316,11,218.45,1,1,1,11,hibernating
12576.0,36,88,1315.83,3,4,4,34,loyal_customers
12577.0,35,147,657.8,3,5,3,35,loyal_customers
12578.0,21,114,2794.51,4,4,5,44,loyal_customers
12579.0,78,29,440.42,2,2,2,22,hibernating
12580.0,247,24,415.7,1,2,2,12,hibernating
12581.0,40,15,197.71,3,2,1,32,about_to_sleep
12582.0,239,22,511.36,1,2,3,12,hibernating
12583.0,3,247,7281.38,5,5,5,55,champions
12584.0,4,96,2338.15,5,4,5,54,champions
12585.0,234,87,2040.1,1,4,4,14,at_Risk
12586.0,17,11,196.94000000000003,4,1,1,41,promising
12587.0,8,4,144.0,5,1,1,51,new_customers
12588.0,39,10,214.89999999999998,3,1,1,31,about_to_sleep
12589.0,29,35,646.68,4,3,3,43,potential_loyalists
12590.0,211,68,9864.26,1,4,5,14,at_Risk
12591.0,317,26,452.84999999999997,1,2,2,12,hibernating
12592.0,92,18,437.6,2,2,2,22,hibernating
12593.0,109,21,418.09999999999997,2,2,2,22,hibernating
12594.0,38,118,3338.2200000000003,3,4,5,34,loyal_customers
12596.0,51,27,618.27,3,2,3,32,about_to_sleep
12597.0,19,206,3811.22,4,5,5,45,loyal_customers
12598.0,10,132,3023.08,5,5,5,55,champions
12599.0,29,62,1032.58,4,4,4,44,loyal_customers
12600.0,29,64,2599.04,4,4,5,44,loyal_customers
12601.0,190,28,577.0600000000001,1,2,3,12,hibernating
12602.0,59,12,153.12,3,1,1,31,about_to_sleep
12603.0,22,2,739.1999999999999,4,1,3,41,promising
12604.0,79,16,254.18,2,2,2,22,hibernating
12607.0,60,101,1579.51,3,4,4,34,loyal_customers
12609.0,78,60,1126.85,2,4,4,24,at_Risk
12610.0,23,106,2099.54,4,4,5,44,loyal_customers
12611.0,52,65,1193.32,3,4,4,34,loyal_customers
12612.0,74,19,704.0400000000001,2,2,3,22,hibernating
12613.0,57,153,3344.38,3,5,5,35,loyal_customers
12614.0,278,20,315.6,1,2,2,12,hibernating
12615.0,2,105,2291.19,5,4,5,54,champions
12616.0,95,32,713.3,2,3,3,23,at_Risk
12617.0,29,42,355.53,4,3,2,43,potential_loyalists
12618.0,22,11,177.31,4,1,1,41,promising
12619.0,16,90,3641.24,4,4,5,44,loyal_customers
12620.0,15,92,1339.41,4,4,4,44,loyal_customers
12621.0,2,467,13689.67,5,5,5,55,champions
12622.0,232,11,180.1,1,1,1,11,hibernating
12623.0,276,18,305.1,1,2,2,12,hibernating
12624.0,106,38,641.13,2,3,3,23,at_Risk
12625.0,212,86,2683.82,1,4,5,14,at_Risk
12626.0,23,294,6620.48,4,5,5,45,loyal_customers
12627.0,11,230,4478.53,5,5,5,55,champions
12628.0,4,41,786.46,5,3,3,53,potential_loyalists
12630.0,10,64,1270.88,5,4,4,54,champions
12631.0,57,31,640.5,3,3,3,33,need_attention
12633.0,59,101,2163.98,3,4,5,34,loyal_customers
12635.0,90,101,1689.18,2,4,4,24,at_Risk
12637.0,67,390,6021.9,3,5,5,35,loyal_customers
12638.0,33,39,671.69,4,3,3,43,potential_loyalists
12639.0,239,22,486.1,1,2,2,12,hibernating
12640.0,24,53,1174.58,4,3,4,43,potential_loyalists
12641.0,115,10,185.9,2,1,1,21,hibernating
12642.0,25,47,1013.26,4,3,4,43,potential_loyalists
12643.0,128,24,3344.64,2,2,5,22,hibernating
12644.0,130,31,477.91,2,3,2,23,at_Risk
12645.0,34,73,1775.18,3,4,4,34,loyal_customers
12646.0,5,45,1346.97,5,3,4,53,potential_loyalists
12647.0,22,121,3722.82,4,4,5,44,loyal_customers
12648.0,155,21,318.05,2,2,2,22,hibernating
12649.0,107,31,623.51,2,3,3,23,at_Risk
12650.0,3,20,314.44,5,2,2,52,potential_loyalists
12651.0,335,9,114.0,1,1,1,11,hibernating
12652.0,331,48,919.98,1,3,3,13,at_Risk
12653.0,149,43,2209.85,2,3,5,23,at_Risk
12654.0,11,38,601.98,5,3,3,53,potential_loyalists
12656.0,17,126,4051.17,4,5,5,45,loyal_customers
12657.0,11,47,1643.18,5,3,4,53,potential_loyalists
12658.0,19,36,686.05,4,3,3,43,potential_loyalists
12659.0,30,5,91.68,4,1,1,41,promising
12660.0,11,13,245.1,5,1,1,51,new_customers
12662.0,1,230,3849.78,5,5,5,55,champions
12664.0,8,37,4881.88,5,3,5,53,potential_loyalists
12665.0,325,3,63.0,1,1,1,11,hibernating
12667.0,58,33,620.13,3,3,3,33,need_attention
12668.0,12,161,3807.15,5,5,5,55,champions
12669.0,151,101,2744.0299999999997,2,4,5,24,at_Risk
12670.0,10,92,2996.05,5,4,5,54,champions
12672.0,330,10,225.89999999999998,1,1,1,11,hibernating
12673.0,5,42,610.52,5,3,3,53,potential_loyalists
12674.0,39,83,1970.6,3,4,4,34,loyal_customers
12676.0,25,45,1331.39,4,3,4,43,potential_loyalists
12678.0,42,165,17628.46,3,5,5,35,loyal_customers
12679.0,59,48,1113.02,3,3,4,33,need_attention
12680.0,1,52,862.81,5,3,3,53,potential_loyalists
12681.0,15,638,13787.54,4,5,5,45,loyal_customers
12682.0,4,525,12288.22,5,5,5,55,champions
12683.0,4,344,8476.57,5,5,5,55,champions
12684.0,8,105,2283.63,5,4,5,54,champions
12685.0,28,157,2863.08,4,5,5,45,loyal_customers
12686.0,372,7,89.14,1,1,1,11,hibernating
12688.0,114,171,4873.8099999999995,2,5,5,25,cant_loose
12689.0,26,72,1247.61,4,4,4,44,loyal_customers
12690.0,206,16,389.01,1,2,2,12,hibernating
12691.0,28,32,1035.8,4,3,4,43,potential_loyalists
12693.0,127,39,855.91,2,3,3,23,at_Risk
12694.0,70,37,869.67,3,3,3,33,need_attention
12695.0,7,27,582.1,5,2,3,52,potential_loyalists
12697.0,29,41,957.59,4,3,4,43,potential_loyalists
12700.0,8,268,4939.99,5,5,5,55,champions
12701.0,80,53,797.71,2,3,3,23,at_Risk
12702.0,20,12,219.0,4,1,1,41,promising
12703.0,71,21,283.55,3,2,2,32,about_to_sleep
12704.0,7,88,2340.84,5,4,5,54,champions
12705.0,15,334,6868.29,4,5,5,45,loyal_customers
12707.0,292,33,603.42,1,3,3,13,at_Risk
12708.0,30,157,2712.91,4,5,5,45,loyal_customers
12709.0,15,208,9736.52,4,5,5,45,loyal_customers
12710.0,97,77,1149.02,2,4,4,24,at_Risk
12712.0,29,133,4396.13,4,5,5,45,loyal_customers
12713.0,1,38,848.55,5,3,3,53,potential_loyalists
12714.0,9,259,4708.86,5,5,5,55,champions
12715.0,106,21,353.86,2,2,2,22,hibernating
12716.0,4,69,1053.49,5,4,4,54,champions
12717.0,151,55,1030.98,2,3,4,23,at_Risk
12718.0,71,19,238.25,3,2,1,32,about_to_sleep
12719.0,5,39,644.95,5,3,3,53,potential_loyalists
12720.0,3,354,5781.73,5,5,5,55,champions
12721.0,32,161,2656.13,4,5,5,45,loyal_customers
12722.0,85,53,997.63,2,3,4,23,at_Risk
12723.0,4,69,725.07,5,4,3,54,champions
12724.0,5,53,1031.41,5,3,4,53,potential_loyalists
12725.0,371,24,427.8,1,2,2,12,hibernating
12726.0,28,124,2609.1,4,5,5,45,loyal_customers
12727.0,11,139,3980.7,5,5,5,55,champions
12728.0,71,46,836.33,3,3,3,33,need_attention
12729.0,114,26,453.01,2,2,2,22,hibernating
12731.0,24,274,18895.91,4,5,5,45,loyal_customers
12732.0,180,12,236.26000000000002,1,1,1,11,hibernating
12733.0,234,22,383.95,1,2,2,12,hibernating
12734.0,353,4,110.39999999999999,1,1,1,11,hibernating
12735.0,315,43,779.5699999999999,1,3,3,13,at_Risk
12736.0,333,4,234.0,1,1,1,11,hibernating
12738.0,372,11,155.35,1,1,1,11,hibernating
12739.0,78,38,1013.04,2,3,4,23,at_Risk
12740.0,64,27,427.6,3,2,2,32,about_to_sleep
12743.0,134,134,546.43,2,5,3,25,cant_loose
12744.0,52,222,21279.29,3,5,5,35,loyal_customers
12747.0,2,103,4196.01,5,4,5,54,champions
12748.0,1,4595,33719.73,5,5,5,55,champions
12749.0,4,199,4090.88,5,5,5,55,champions
12750.0,129,15,275.88,2,2,2,22,hibernating
12752.0,81,53,4366.78,2,3,5,23,at_Risk
12753.0,23,197,21429.39,4,5,5,45,loyal_customers
12754.0,236,63,3010.74,1,4,5,14,at_Risk
12755.0,281,4,3811.95,1,1,5,11,hibernating
12756.0,87,4,112.07999999999998,2,1,1,21,hibernating
12757.0,16,371,7857.1,4,5,5,45,loyal_customers
12758.0,117,97,2791.59,2,4,5,24,at_Risk
12759.0,52,95,1531.44,3,4,4,34,loyal_customers
12762.0,8,69,1898.52,5,4,4,54,champions
12763.0,138,18,494.08,2,2,3,22,hibernating
12764.0,317,45,1693.88,1,3,4,13,at_Risk
12766.0,4,310,6989.63,5,5,5,55,champions
12769.0,239,32,1143.6,1,3,4,13,at_Risk
12770.0,211,12,1351.45,1,1,4,11,hibernating
12772.0,60,55,892.47,3,3,3,33,need_attention
12775.0,17,66,1386.04,4,4,4,44,loyal_customers
12778.0,20,50,822.23,4,3,3,43,potential_loyalists
12779.0,38,149,3981.36,3,5,5,35,loyal_customers
12781.0,64,25,826.74,3,2,3,32,about_to_sleep
12782.0,5,103,2330.92,5,4,5,54,champions
12783.0,2,84,2225.91,5,4,5,54,champions
12784.0,9,59,574.42,5,4,3,54,champions
12785.0,364,14,311.95,1,1,2,11,hibernating
12787.0,10,20,463.66,5,2,2,52,potential_loyalists
12789.0,65,4,91.85,3,1,1,31,about_to_sleep
12790.0,192,21,324.92,1,2,2,12,hibernating
12791.0,374,2,192.60000000000002,1,1,1,11,hibernating
12792.0,257,25,400.53999999999996,1,2,2,12,hibernating
12793.0,335,24,545.48,1,2,3,12,hibernating
12794.0,53,45,860.41,3,3,3,33,need_attention
12795.0,19,14,430.48,4,1,2,41,promising
12797.0,366,13,254.03,1,1,2,11,hibernating
12798.0,10,8,6977.04,5,1,5,51,new_customers
12802.0,187,25,427.58,1,2,2,12,hibernating
12808.0,37,28,483.65000000000003,3,2,2,32,about_to_sleep
12809.0,178,25,489.31,2,2,2,22,hibernating
12811.0,261,31,514.85,1,3,3,13,at_Risk
12812.0,45,15,229.64000000000001,3,2,1,32,about_to_sleep
12814.0,102,2,125.92,2,1,1,21,hibernating
12815.0,148,47,1063.46,2,3,4,23,at_Risk
12816.0,96,29,572.2,2,2,3,22,hibernating
12817.0,281,4,166.04,1,1,1,11,hibernating
12818.0,262,14,1542.08,1,1,4,11,hibernating
12820.0,3,59,942.34,5,4,4,54,champions
12821.0,214,6,92.72,1,1,1,11,hibernating
12822.0,71,46,948.88,3,3,4,33,need_attention
12823.0,75,5,1759.5,2,1,4,21,hibernating
12824.0,60,25,397.12,3,2,2,32,about_to_sleep
12826.0,3,91,1474.72,5,4,4,54,champions
12827.0,6,25,430.15000000000003,5,2,2,52,potential_loyalists
12828.0,3,56,1018.71,5,3,4,53,potential_loyalists
12829.0,337,11,293.0,1,1,2,11,hibernating
12830.0,38,38,6814.64,3,3,5,33,need_attention
12831.0,262,9,215.05,1,1,1,11,hibernating
12832.0,32,27,383.03,4,2,2,42,potential_loyalists
12833.0,145,24,417.38,2,2,2,22,hibernating
12834.0,283,18,312.38,1,2,2,12,hibernating
12836.0,59,175,2612.86,3,5,5,35,loyal_customers
12837.0,173,12,134.1,2,1,1,21,hibernating
12838.0,34,123,683.13,3,5,3,35,loyal_customers
12839.0,3,314,5591.42,5,5,5,55,champions
12840.0,144,113,2726.77,2,4,5,24,at_Risk
12841.0,5,420,4022.35,5,5,5,55,champions
12842.0,70,34,1118.99,3,3,4,33,need_attention
12843.0,66,103,1702.26,3,4,4,34,loyal_customers
12844.0,29,52,325.96000000000004,4,3,2,43,potential_loyalists
12845.0,267,27,354.09,1,2,2,12,hibernating
12847.0,22,91,871.54,4,4,3,44,loyal_customers
12849.0,31,51,1050.8899999999999,4,3,4,43,potential_loyalists
12851.0,97,50,135.18,2,3,1,23,at_Risk
12852.0,295,17,311.55,1,2,2,12,hibernating
12853.0,135,78,1957.1000000000001,2,4,4,24,at_Risk
12854.0,79,110,1324.5,2,4,4,24,at_Risk
12855.0,373,3,38.1,1,1,1,11,hibernating
12856.0,8,314,2179.93,5,5,5,55,champions
12857.0,211,46,1106.4,1,3,4,13,at_Risk
12863.0,52,5,521.2,3,1,3,31,about_to_sleep
12864.0,138,3,147.12,2,1,1,21,hibernating
12865.0,26,95,1568.23,4,4,4,44,loyal_customers
12866.0,283,26,559.12,1,2,3,12,hibernating
12867.0,26,538,4036.82,4,5,5,45,loyal_customers
12868.0,186,107,1607.0600000000002,1,4,4,14,at_Risk
12871.0,84,11,380.64,2,1,2,21,hibernating
12872.0,327,66,599.97,1,4,3,14,at_Risk
12873.0,282,4,374.0,1,1,2,11,hibernating
12875.0,143,2,343.2300000000001,2,1,2,21,hibernating
12876.0,58,85,2218.02,3,4,5,34,loyal_customers
12877.0,4,154,1535.77,5,5,4,55,champions
12878.0,236,47,854.99,1,3,3,13,at_Risk
12879.0,45,10,573.22,3,1,3,31,about_to_sleep
12881.0,276,7,298.0,1,1,2,11,hibernating
12882.0,9,13,1463.04,5,1,4,51,new_customers
12883.0,25,42,703.47,4,3,3,43,potential_loyalists
12884.0,88,7,309.05,2,1,2,21,hibernating
12885.0,63,71,1175.22,3,4,4,34,loyal_customers
12886.0,68,82,1378.4,3,4,4,34,loyal_customers
12888.0,214,5,354.12,1,1,2,11,hibernating
12890.0,24,82,380.46999999999997,4,4,2,44,loyal_customers
12891.0,186,3,331.0,1,1,2,11,hibernating
12893.0,31,34,188.14,4,3,1,43,potential_loyalists
12895.0,42,22,372.8,3,2,2,32,about_to_sleep
12897.0,205,4,216.5,1,1,1,11,hibernating
12901.0,9,116,17654.54,5,4,5,54,champions
12902.0,265,10,138.68,1,1,1,11,hibernating
12904.0,18,72,509.58,4,4,3,44,loyal_customers
12906.0,12,63,2919.81,5,4,5,54,champions
12908.0,176,2,750.0,2,1,3,21,hibernating
12909.0,40,91,2178.67,3,4,5,34,loyal_customers
12910.0,23,75,3075.04,4,4,5,44,loyal_customers
12912.0,3,24,1662.3,5,2,4,52,potential_loyalists
12913.0,5,50,2483.63,5,3,5,53,potential_loyalists
12915.0,149,22,363.65,2,2,2,22,hibernating
12916.0,139,107,3006.15,2,4,5,24,at_Risk
12917.0,128,2,594.0,2,1,3,21,hibernating
12919.0,8,50,1335.19,5,3,4,53,potential_loyalists
12920.0,17,28,164.23,4,2,1,42,potential_loyalists
12921.0,9,720,16587.09,5,5,5,55,champions
12922.0,161,28,405.38,2,2,2,22,hibernating
12923.0,64,29,176.97,3,2,1,32,about_to_sleep
12924.0,88,30,933.7,2,3,3,23,at_Risk
12925.0,5,45,694.05,5,3,3,53,potential_loyalists
12928.0,35,84,2062.7000000000003,3,4,5,34,loyal_customers
12929.0,312,8,117.85,1,1,1,11,hibernating
12930.0,78,25,415.8,2,2,2,22,hibernating
12931.0,22,82,42055.96,4,4,5,44,loyal_customers
12933.0,24,106,607.53,4,4,3,44,loyal_customers
12935.0,2,129,2160.7,5,5,5,55,champions
12936.0,17,62,1063.9,4,4,4,44,loyal_customers
12937.0,15,120,1504.27,4,4,4,44,loyal_customers
12938.0,26,9,114.14,4,1,1,41,promising
12939.0,64,47,11581.8,3,3,5,33,need_attention
12940.0,55,99,913.54,3,4,3,34,loyal_customers
12942.0,131,75,683.9,2,4,3,24,at_Risk
12944.0,36,30,604.51,3,3,3,33,need_attention
12945.0,288,23,462.95,1,2,2,12,hibernating
12947.0,144,97,1603.99,2,4,4,24,at_Risk
12948.0,16,116,2064.95,4,4,5,44,loyal_customers
12949.0,31,215,4167.22,4,5,5,45,loyal_customers
12950.0,2,23,1843.0,5,2,4,52,potential_loyalists
12951.0,9,63,1064.07,5,4,4,54,champions
12952.0,6,79,1387.79,5,4,4,54,champions
12953.0,10,17,329.85,5,2,2,52,potential_loyalists
12955.0,1,180,4757.16,5,5,5,55,champions
12956.0,306,19,108.07,1,2,1,12,hibernating
12957.0,10,238,4017.54,5,5,5,55,champions
12962.0,7,16,266.39,5,2,2,52,potential_loyalists
12963.0,8,95,1856.63,5,4,4,54,champions
12965.0,89,109,771.91,2,4,3,24,at_Risk
12966.0,10,10,160.18,5,1,1,51,new_customers
12967.0,358,19,1660.9,1,2,4,12,hibernating
12968.0,112,5,135.95,2,1,1,21,hibernating
12970.0,7,151,452.24,5,5,2,55,champions
12971.0,4,305,11189.91,5,5,5,55,champions
12974.0,198,8,144.8,1,1,1,11,hibernating
12976.0,212,22,738.6,1,2,3,12,hibernating
12977.0,156,9,39.239999999999995,2,1,1,21,hibernating
12980.0,158,20,7374.900000000001,2,2,5,22,hibernating
12981.0,30,20,372.21999999999997,4,2,2,42,potential_loyalists
12982.0,243,28,390.54,1,2,2,12,hibernating
12984.0,19,4,97.5,4,1,1,41,promising
12985.0,1,76,1239.38,5,4,4,54,champions
12987.0,74,28,558.7,2,2,3,22,hibernating
12988.0,292,92,535.32,1,4,3,14,at_Risk
12989.0,3,64,6924.110000000001,5,4,5,54,champions
12990.0,31,13,409.5,4,1,2,41,promising
12991.0,23,31,503.76,4,3,3,43,potential_loyalists
12993.0,23,27,414.76,4,2,2,42,potential_loyalists
12994.0,4,61,974.4200000000001,5,4,4,54,champions
12995.0,85,3,211.32,2,1,1,21,hibernating
12997.0,22,59,1226.89,4,4,4,44,loyal_customers
12999.0,196,28,455.88,1,2,2,12,hibernating
13000.0,107,31,534.85,2,3,3,23,at_Risk
13001.0,4,339,9818.82,5,5,5,55,champions
